sampleName,fileName,condition
MCH1,../../MCH1/rnaseq/gene_counts.tsv,MCH
MCH2,../../MCH2/rnaseq/gene_counts.tsv,MCH
MCH3,../../MCH3/rnaseq/gene_counts.tsv,MCH
MTH1,../../MTH1/rnaseq/gene_counts.tsv,MTH
MTH2,../../MTH2/rnaseq/gene_counts.tsv,MTH
MTH3,../../MTH3/rnaseq/gene_counts.tsv,MTH
FCH1,../../FCH1/rnaseq/gene_counts.tsv,FCH
FCH2,../../FCH2/rnaseq/gene_counts.tsv,FCH
FCH3,../../FCH3/rnaseq/gene_counts.tsv,FCH
FTH1,../../FTH1/rnaseq/gene_counts.tsv,FTH
FTH2,../../FTH2/rnaseq/gene_counts.tsv,FTH
FTH3,../../FTH3/rnaseq/gene_counts.tsv,FTH
MCNT1,../../MCNT1/rnaseq/gene_counts.tsv,MCNT
MCNT2,../../MCNT2/rnaseq/gene_counts.tsv,MCNT
MCNT3,../../MCNT3/rnaseq/gene_counts.tsv,MCNT
MTNT1,../../MTNT1/rnaseq/gene_counts.tsv,MTNT
MTNT2,../../MTNT2/rnaseq/gene_counts.tsv,MTNT
MTNT3,../../MTNT3/rnaseq/gene_counts.tsv,MTNT
FCNT1,../../FCNT1/rnaseq/gene_counts.tsv,FCNT
FCNT2,../../FCNT2/rnaseq/gene_counts.tsv,FCNT
FCNT3,../../FCNT3/rnaseq/gene_counts.tsv,FCNT
FTNT1,../../FTNT1/rnaseq/gene_counts.tsv,FTNT
FTNT2,../../FTNT2/rnaseq/gene_counts.tsv,FTNT
FTNT3,../../FTNT3/rnaseq/gene_counts.tsv,FTNT
